Email,Daily Limit,Sender Name,SMTP Host,SMTP Port,SMTP Password,IMAP Host,IMAP Port,IMAP Password,Warmup Daily Goal,Warmup Daily Increment
michael@n8ntesting.com,25,Michael Johnson,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
christopher@n8ntesting.com,25,Christopher Smith,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
jennifer@n8ntesting.com,25,Jennifer Davis,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
amanda@n8ntesting.com,25,Amanda Wilson,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
david@n8ntesting.com,25,David Martinez,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
rebecca@n8ntesting.com,25,Rebecca Anderson,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
benjamin@n8ntesting.com,25,Benjamin Taylor,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
megan@n8ntesting.com,25,Megan Thomas,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
stephanie@n8ntesting.com,25,Stephanie Moore,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
amber@n8ntesting.com,25,Amber Jackson,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
john@n8ntesting.com,25,John White,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
samuel@n8ntesting.com,25,Samuel Harris,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
rachel@n8ntesting.com,25,Rachel Martin,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
brittany@n8ntesting.com,25,Brittany Thompson,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
robert@n8ntesting.com,25,Robert Garcia,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
heather@n8ntesting.com,25,Heather Martinez,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
paul@n8ntesting.com,25,Paul Robinson,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
lisa@n8ntesting.com,25,Lisa Clark,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
emily@n8ntesting.com,25,Emily Rodriguez,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
michelle@n8ntesting.com,25,Michelle Lewis,smtp.n8ntesting.com,465,password_here,imap.n8ntesting.com,993,password_here,25,3
